scenario,side,metric,metric_label,unit,excluded_airports,pre_rmse,post_mean_gap,post_abs_mean_gap,post_days,observed_stress_mean,observed_interim_mean,synthetic_stress_mean,synthetic_interim_mean,observed_change,synthetic_change,recovery_gap,airport,rank,donor_count,p_value,scenario_airports
Baseline donor pool,arr,delay15_rate,Delay-15-plus rate,pp,--,0.13875305464144638,0.01163979289305672,0.1326196452259939,27,0.47290077124043606,0.2558402114928717,0.2554855582063287,0.24420041859981498,-0.21706055974756433,-0.0112851396065137,-0.20577542014105063,EWR,1,49,0.02,49
Baseline donor pool,arr,nas_delay_per_scheduled_op,NAS delay,min/op,--,17.282875342065804,6.283025226734018,9.471488540240625,27,40.03105735306013,10.453477064228352,8.460612263461927,4.1704518374943325,-29.577580288831776,-4.290160425967595,-25.28741986286418,EWR,1,49,0.02,49
Baseline donor pool,dep,delay15_rate,Delay-15-plus rate,pp,--,0.08876331825016251,-0.07573447494488589,0.11655750673905983,27,0.3201590088796064,0.1773678750972485,0.22776165752094477,0.2531023500421344,-0.14279113378235792,0.025340692521189617,-0.16813182630354753,EWR,1,49,0.02,49
Baseline donor pool,dep,nas_delay_per_scheduled_op,NAS delay,min/op,--,3.966343798251301,-0.09180097811871561,4.259306261229386,27,8.866927900261985,5.386671051805967,5.43134915281041,5.478472029924683,-3.4802568484560172,0.04712287711427354,-3.527379725570291,EWR,1,49,0.02,49
"Exclude NYC airports (JFK, LGA)",arr,delay15_rate,Delay-15-plus rate,pp,"JFK, LGA",0.14286346962030566,-0.014378887353610802,0.13669334851507206,27,0.47290077124043606,0.2558402114928717,0.24943186226525066,0.2702190988464825,-0.21706055974756433,0.020787236581231827,-0.23784779632879616,EWR,1,47,0.020833333333333332,47
"Exclude NYC airports (JFK, LGA)",arr,nas_delay_per_scheduled_op,NAS delay,min/op,"JFK, LGA",19.5682527506857,2.340117826584233,9.773683800937569,27,40.03105735306013,10.453477064228352,6.718531161118734,8.113359237644117,-29.577580288831776,1.3948280765253829,-30.972408365357158,EWR,1,47,0.020833333333333332,47
"Exclude NYC airports (JFK, LGA)",dep,delay15_rate,Delay-15-plus rate,pp,"JFK, LGA",0.09125003084089298,-0.07823425600425794,0.11634212498434048,27,0.3201590088796064,0.1773678750972485,0.2272216420860209,0.2556021311015065,-0.14279113378235792,0.028380489015485594,-0.1711716227978435,EWR,1,47,0.020833333333333332,47
"Exclude NYC airports (JFK, LGA)",dep,nas_delay_per_scheduled_op,NAS delay,min/op,"JFK, LGA",4.334924717968374,0.1866165856836682,4.310345230092305,27,8.866927900261985,5.386671051805967,5.350296914017524,5.2000544661223,-3.4802568484560172,-0.15024244789522445,-3.330014400560793,EWR,1,47,0.020833333333333332,47
Exclude nearby Northeast airports,arr,delay15_rate,Delay-15-plus rate,pp,"JFK, LGA, BOS, PHL, BWI, DCA, IAD",0.15049946477760948,-0.016241776970147462,0.1482496637610058,27,0.47290077124043606,0.2558402114928717,0.2354874871342899,0.2720819884630192,-0.21706055974756433,0.03659450132872927,-0.2536550610762936,EWR,1,42,0.023255813953488372,42
Exclude nearby Northeast airports,arr,nas_delay_per_scheduled_op,NAS delay,min/op,"JFK, LGA, BOS, PHL, BWI, DCA, IAD",20.037245400961,1.326931315773229,12.323009898501132,27,40.03105735306013,10.453477064228352,6.718301543620874,9.126545748455122,-29.577580288831776,2.408244204834248,-31.985824493666023,EWR,1,42,0.023255813953488372,42
Exclude nearby Northeast airports,dep,delay15_rate,Delay-15-plus rate,pp,"JFK, LGA, BOS, PHL, BWI, DCA, IAD",0.09428078696652609,-0.0804413538148414,0.12304343651442683,27,0.3201590088796064,0.1773678750972485,0.2196931534998173,0.2578092289120899,-0.14279113378235792,0.038116075412272604,-0.18090720919463052,EWR,1,42,0.023255813953488372,42
Exclude nearby Northeast airports,dep,nas_delay_per_scheduled_op,NAS delay,min/op,"JFK, LGA, BOS, PHL, BWI, DCA, IAD",4.693979415812368,0.2963365725837136,4.274454685663663,27,8.866927900261985,5.386671051805967,5.238425203603732,5.090334479222254,-3.4802568484560172,-0.1480907243814782,-3.332166124074539,EWR,1,42,0.023255813953488372,42
Exclude high-weight donor airports,arr,delay15_rate,Delay-15-plus rate,pp,"BOS, BWI, CMH, DAL, DEN, DFW, FLL, HNL, HOU, IAD, IAH, JFK, LGA, MCO, MIA, MSY, OAK, PHL, PIT, RSW, SFO",0.14860616312297628,0.006570552659499335,0.14550413245004556,27,0.47290077124043606,0.2558402114928717,0.23536802930328676,0.24926965883337238,-0.21706055974756433,0.013901629530085613,-0.23096218927764994,EWR,1,28,0.034482758620689655,28
Exclude high-weight donor airports,arr,nas_delay_per_scheduled_op,NAS delay,min/op,"BOS, BWI, CMH, DAL, DEN, DFW, FLL, HNL, HOU, IAD, IAH, JFK, LGA, MCO, MIA, MSY, OAK, PHL, PIT, RSW, SFO",19.67995758109709,5.1232718639404755,10.797500692682442,27,40.03105735306013,10.453477064228352,5.2393993385312605,5.330205200287875,-29.577580288831776,0.09080586175661409,-29.66838615058839,EWR,1,28,0.034482758620689655,28
Exclude high-weight donor airports,dep,delay15_rate,Delay-15-plus rate,pp,"BOS, BWI, CMH, DAL, DEN, DFW, FLL, HNL, HOU, IAD, IAH, JFK, LGA, MCO, MIA, MSY, OAK, PHL, PIT, RSW, SFO",0.09639665742077809,-0.05918312110049936,0.10621588174384133,27,0.3201590088796064,0.1773678750972485,0.21202880794676573,0.23655099619774786,-0.14279113378235792,0.024522188250982124,-0.16731332203334004,EWR,1,28,0.034482758620689655,28
Exclude high-weight donor airports,dep,nas_delay_per_scheduled_op,NAS delay,min/op,"BOS, BWI, CMH, DAL, DEN, DFW, FLL, HNL, HOU, IAD, IAH, JFK, LGA, MCO, MIA, MSY, OAK, PHL, PIT, RSW, SFO",4.862223062536513,1.2643764490757863,3.131130378426289,27,8.866927900261985,5.386671051805967,4.626842773845962,4.1222946027301814,-3.4802568484560172,-0.5045481711157809,-2.9757086773402364,EWR,1,28,0.034482758620689655,28
